Date;Price;Open;High;Low;Vol.;Change %
jun-94;102.74;100.95;105.27;99.06;-;1.77%
maj-94;100.95;109.86;109.86;99.17;-;-8.11%
apr-94;109.86;109.58;109.88;104.04;-;0.26%
mar-94;109.58;113.31;113.88;107.56;-;-3.29%
feb-94;113.31;115.93;118.30;112.10;-;-2.26%
jan-94;115.93;106.80;116.18;106.72;-;8.55%
dec-93;106.80;100.48;108.25;99.57;-;6.29%
nov-93;100.48;103.65;104.51;99.34;-;-3.06%
okt-93;103.65;97.50;103.84;96.90;-;6.31%
sep-93;97.50;97.88;99.66;95.75;-;-0.39%
aug-93;97.88;91.87;100.80;91.87;-;6.54%
jul-93;91.87;91.49;92.65;88.58;-;0.42%
jun-93;91.49;85.00;91.60;83.12;-;7.64%
maj-93;85.00;83.68;88.48;83.68;-;1.58%
apr-93;83.68;80.93;85.65;80.37;-;3.40%
mar-93;80.93;82.17;86.24;78.29;-;-1.51%
feb-93;82.17;84.22;87.91;79.64;-;-2.43%
jan-93;84.22;74.78;84.31;72.18;-;12.62%
dec-92;74.78;74.75;81.24;73.31;-;0.04%
nov-92;74.75;71.72;80.76;69.73;-;4.22%
okt-92;71.72;73.61;75.26;70.22;-;-2.57%
sep-92;73.61;76.74;77.52;72.28;-;-4.08%
aug-92;76.74;86.37;86.37;75.74;-;-11.15%
jul-92;86.37;90.47;90.53;85.25;-;-4.53%
jun-92;90.47;100.62;101.13;88.05;-;-10.09%
maj-92;100.62;93.61;101.05;93.61;-;7.49%
apr-92;93.61;93.08;96.39;91.61;-;0.57%
mar-92;93.08;99.33;99.34;93.03;-;-6.29%
feb-92;99.33;104.66;104.92;98.84;-;-5.09%
jan-92;104.66;100.97;106.42;100.97;-;3.65%
dec-91;100.97;101.94;101.94;99.80;-;-0.95%
nov-91;101.94;105.59;107.56;101.51;-;-3.46%
okt-91;105.59;104.60;106.27;102.11;-;0.95%
sep-91;104.60;107.89;107.92;103.33;-;-3.05%
aug-91;107.89;109.88;110.99;102.71;-;-1.81%
jul-91;109.88;106.59;111.27;104.53;-;3.09%
jun-91;106.59;103.40;107.61;102.20;-;3.09%
maj-91;103.40;100.15;104.05;97.90;-;3.25%
apr-91;100.15;101.40;103.65;98.55;-;-1.23%
mar-91;101.40;101.20;104.05;100.17;-;0.20%
feb-91;101.20;90.58;102.42;90.58;-;11.72%
jan-91;90.58;89.71;92.52;89.23;-;2.47%
dec-90;88.40;88.40;88.40;88.40;-;-5.06%
nov-90;93.11;93.11;93.11;93.11;-;-5.63%
okt-90;98.66;98.66;98.66;98.66;-;6.30%
sep-90;92.81;92.81;92.81;92.81;-;-9.79%
aug-90;102.88;102.88;102.88;102.88;-;-7.64%
jul-90;111.39;111.39;111.39;111.39;-;3.03%
jun-90;108.11;108.11;108.11;108.11;-;-0.95%
maj-90;109.15;109.15;109.15;109.15;-;7.19%
apr-90;101.83;101.83;101.83;101.83;-;-8.54%
mar-90;111.34;111.34;111.34;111.34;-;5.10%
feb-90;105.94;105.94;105.94;105.94;-;-0.54%
jan-90;106.51;106.51;106.51;106.51;-;1.68%
